Column1
"id,genero,limitacion,localidad,disponibilidad,tipoOrg,tipoEmp,actividadEco,comunidad,modalidad,experiencia,promedio,contacto"
"20,N,No,Usaquen,LAM;WPM;MAM;SPM,Fundacion,Microempresas,Manufactura-Confecciones,Ancianos,P,Si,No,Llamada telefononica"
"21,M,No,Santafe,LPM;MAM,Cooperativas,Emprendimiento Familiar,Manufactura-Alimentos,Niños,V,Si,No,Whatsapp"
"22,F,No,Chapinero,WPM;VAM,Colegios,Emprendimiento Potencial,Manufactura-Artículos decorativos,Jovenes,M,No,No,Teams"
"23,N,No,Fontibon,DAM,Fondos de empleados,Emprendimiento Social,Servicios,Adultos,P,Si,Si,Teams"
"24,N,Si,Engativa,WPM;WAM,Asociaciones,Emprendimiento Grandes empresas,Manufactura-Confecciones,Ancianos,P,No,Si,Whatsapp"
"25,N,Si,Suba,LPM;MAM,Corporaciones,Emprendimiento Pequeñas empresas,Manufactura-Alimentos,Niños,P,No,No,Correo"
"26,N,Si,Ciudad Bolivar,VPM;LPM,Hospitales,Microempresas,Manufactura-Artículos decorativos,Jovenes,V,Si,No,Correo"
"27,F,No,San cristobal,MAM;WAM,Otros,Emprendimiento Familiar,Servicios,Adultos,V,Si,Si,Teams"
"28,F,No,Usme,WPM;JAM,Fundacion,Emprendimiento Potencial,Manufactura-Confecciones,Jovenes,V,No,No,Whatsapp"
"29,F,Si,Puente Aranda,JPM;VPM,Cooperativas,Emprendimiento Social,Manufactura-Alimentos,Adultos,M,No,Si,Correo"
"30,M,Si,Teusaquillo,SAM,Colegios,Emprendimiento Grandes empresas,Manufactura-Artículos decorativos,Ancianos,M,No,No,Whatsapp"
"31,M,No,Candelaria,LAM;WPM;MAM;SPM,Fondos de empleados,Emprendimiento Pequeñas empresas,Servicios,Niños,M,No,No,Teams"
"32,M,Si,Sopo,VPM;LPM,Asociaciones,Microempresas,Manufactura-Confecciones,Jovenes,M,Si,Si,Whatsapp"
"33,N,Si,Tenjo,MAM;WAM,Corporaciones,Emprendimiento Familiar,Manufactura-Alimentos,Ancianos,P,Si,Si,Correo"
"34,F,Si,Ciudad Bolivar,WPM;JAM,Hospitales,Emprendimiento Potencial,Manufactura-Artículos decorativos,Niños,V,No,No,Correo"
"35,M,No,San cristobal,JPM;VPM,Otros,Emprendimiento Social,Servicios,Jovenes,M,No,No,Llamada telefononica"
"36,N,Si,Suba,VAM;VPM,Colegios,Emprendimiento Grandes empresas,Servicios,Jovenes,M,Si,No,Correo"
